text,label
Tell me about relational algebra.,dbms
What's the difference between linked list cycle detection and quicksort?,dsa
Can you explain indexing with an example?,dbms
How does standard deviation work?,maths
Write learning rate code for me.,aiml
Is normalization asked in placement interviews?,dbms
Summarize breadth first search for revision.,dsa
"Honestly, Help me plan my week. Any advice?",general
Tell me about expected value.,maths
I don't understand neural networks.,aiml
ensemble methods interview questions,aiml
Compare arrays and linked list cycle detection.,dsa
"Honestly, Can you summarize what I've learned so far?",general
Quick question - I don't know where to start. Any advice?,general
So How should I prepare for technical interviews? Please guide me.,general
Give me a problem on hash maps.,dsa
"My answer for graphs was wrong, why?",dsa
Quick question - What should I learn first to become a data scientist?,general
"Hey, What should I revise the night before an interview? Any advice?",general
What is chain rule?,maths
loss functions interview questions,aiml
Explain heaps.,dsa
Show me how to implement support vector machines.,aiml
Write neural networks code for me.,aiml
indexing explained simply,dbms
I don't understand embeddings.,aiml
Give me practice problems on depth first search.,dsa
Can you explain limits with an example?,maths
Compare normalization and relational algebra.,dbms
I don't understand permutations.,maths
How do I solve questions about hash maps?,dsa
Give me a problem on integrals.,maths
I don't understand combinations.,maths
chain rule vs discrete mathematics,maths
Quick question - How do I explain my project in an interview? I'm not sure.,general
So How long does it take to get placement ready? Any advice?,general
So How do I balance college exams and placement prep? Any advice?,general
What's the difference between cross validation and regularization?,aiml
Explain random forests.,aiml
Show me how to implement primary keys.,dbms
Break down probability for me.,maths
Give me practice problems on indexing.,dbms
Help me with depth first search.,dsa
Quick question - What are my weakest areas right now? Any advice?,general
What is learning rate?,aiml
What is derivatives?,maths
Break down set theory for me.,maths
What is eigenvalues?,maths
How do I solve questions about views?,dbms
How do I answer 'tell me about yourself' in an interview? Any advice?,general
"I'm stuck on time complexity, can you help?",dsa
join queries vs transactions,dbms
activation functions explained simply,aiml
logistic regression vs regularization,aiml
Explain combinations.,maths
Write discrete mathematics code for me.,maths
Give me practice problems on variance.,maths
So What should my daily routine look like?,general
Compare graphs and binary trees.,dsa
precision and recall explained simply,aiml
How do I solve questions about variance?,maths
How does merge sort work?,dsa
heaps explained simply,dsa
Revise precision and recall with me.,aiml
"My answer for recursion was wrong, why?",dsa
Quiz me on activation functions.,aiml
"My answer for embeddings was wrong, why?",aiml
Teach me concurrency control.,dbms
I don't understand first normal form.,dbms
Need help understanding set theory,maths
Give me practice problems on merge sort.,dsa
So What's a good resume format for freshers? Please guide me.,general
foreign keys vs ACID properties,dbms
Need help understanding arrays,dsa
Debug my batch normalization solution.,aiml
"Honestly, Can you summarize what I've learned so far? I'm not sure.",general
Revise binary search with me.,dsa
What's the difference between tree traversal and heaps?,dsa
What are the steps for chain rule?,maths
So What's the best way to take notes while studying? Please guide me.,general
Can you help me: How do I handle interview rejection? I'm not sure.,general
Walk me through transformers step by step.,aiml
database schema design explained simply,dbms
Debug my chain rule solution.,maths
Can you explain hypothesis testing with an example?,maths
Tell me about hypothesis testing.,maths
Debug my third normal form solution.,dbms
Break down support vector machines for me.,aiml
How do I solve questions about embeddings?,aiml
Why is tree traversal important?,dsa
Show me how to implement concurrency control.,dbms
"Hey, Give me tips for group discussions. Thanks!",general
Give me practice problems on database schema design.,dbms
How does probability work?,maths
Walk me through convolutional neural networks step by step.,aiml
What are the steps for transformers?,aiml
Tell me about neural networks.,aiml
So Should I focus on projects or DSA first? I'm not sure.,general
Quick question - How long does it take to get placement ready?,general
Need help understanding concurrency control,dbms
Help me with views.,dbms
Debug my linked list cycle detection solution.,dsa
How is stacks related to backtracking?,dsa
How is permutations related to conditional probability?,maths
"I'm stuck on transactions, can you help?",dbms
Can you help me: How do I negotiate a job offer? Please guide me.,general
Show me how to implement first normal form.,dbms
Can you help me: What certifications actually matter? Thanks!,general
Teach me limits.,maths
Why is space complexity important?,dsa
What's the difference between discrete mathematics and integrals?,maths
Give me practice problems on gradient descent.,aiml
"I'm stuck on join queries, can you help?",dbms
How does bias variance tradeoff work?,aiml
Can you help me: I keep forgetting what I studied last week.,general
query optimization interview questions,dbms
What is linear algebra?,maths
How is vectors related to set theory?,maths
How do I solve questions about subqueries?,dbms
"Honestly, Build me a study plan for the next 4 weeks.",general
Can you explain space complexity with an example?,dsa
Tell me about convolutional neural networks.,aiml
Why is third normal form important?,dbms
Give me practice problems on breadth first search.,dsa
Can you explain views with an example?,dbms
embeddings interview questions,aiml
Quick question - How important is CGPA for placements?,general
Need help understanding backtracking,dsa
"My answer for indexing was wrong, why?",dbms
How is relational algebra related to indexing?,dbms
Compare determinants and hypothesis testing.,maths
Why is limits important?,maths
So What are my weakest areas right now? Thanks!,general
Teach me query optimization.,dbms
Debug my greedy algorithms solution.,dsa
"I'm stuck on database schema design, can you help?",dbms
Quiz me on queues.,dsa
So Am I on track for my goals?,general
How is database schema design related to subqueries?,dbms
Compare hash maps and binary search.,dsa
"Hey, What topics are most important for product company interviews? Thanks!",general
What's the difference between logistic regression and random forests?,aiml
Explain standard deviation.,maths
Help me with graph theory.,maths
How is random forests related to naive bayes?,aiml
"Honestly, Should I do an internship or prepare for placements? Please guide me.",general
How is sliding window related to stacks?,dsa
"Honestly, What certifications actually matter? Please guide me.",general
Explain normal distribution.,maths
"Hey, How do I explain my project in an interview? Thanks!",general
Write naive bayes code for me.,aiml
Give me practice problems on binary trees.,dsa
Can you explain binary trees with an example?,dsa
How is arrays related to linked lists?,dsa
SQL queries interview questions,dbms
"Hey, How do I explain my project in an interview? I'm not sure.",general
What's the difference between regularization and confusion matrices?,aiml
Why is SQL queries important?,dbms
Tell me about recursion.,dsa
I don't understand graphs.,dsa
"My answer for heaps was wrong, why?",dsa
Can you explain probability with an example?,maths
"Hey, What's a good resume format for freshers? Please guide me.",general
Tell me about precision and recall.,aiml
What's a good resume format for freshers? Any advice?,general
Need help understanding variance,maths
Debug my foreign keys solution.,dbms
Tell me about inner joins.,dbms
I don't understand regularization.,aiml
"Hey, Am I on track for my goals? Thanks!",general
Quiz me on embeddings.,aiml
Walk me through learning rate step by step.,aiml
Is B-tree indexes asked in placement interviews?,dbms
Debug my query optimization solution.,dbms
Break down queues for me.,dsa
Is eigenvalues asked in placement interviews?,maths
standard deviation vs variance,maths
Explain integrals.,maths
"My answer for neural networks was wrong, why?",aiml
How is normal distribution related to eigenvalues?,maths
stacks explained simply,dsa
Give me practice problems on space complexity.,dsa
What is two pointers?,dsa
What are common mistakes in time complexity?,dsa
Need help understanding graph theory,maths
"Honestly, Build me a study plan for the next 4 weeks. Thanks!",general
How do I solve questions about standard deviation?,maths
Debug my breadth first search solution.,dsa
"I failed my last mock interview, what now? Any advice?",general
ACID properties interview questions,dbms
Quiz me on regularization.,aiml
Revise support vector machines with me.,aiml
Can you help me: Give me tips for group discussions. Please guide me.,general
Quick question - What should my daily routine look like? I'm not sure.,general
"Hey, What's a good resume format for freshers? Any advice?",general
Can you help me: How do I improve my problem solving speed? Please guide me.,general
Teach me logistic regression.,aiml
Give me a problem on GROUP BY clauses.,dbms
Help me with quicksort.,dsa
What is support vector machines?,aiml
"Honestly, How do I prepare for HR rounds? I'm not sure.",general
"My answer for views was wrong, why?",dbms
Write variance code for me.,maths
How do I balance college exams and placement prep? Any advice?,general
So What's the difference between service and product companies? Any advice?,general
Quick question - Help me set realistic study goals. I'm not sure.,general
Revise vectors with me.,maths
What are the steps for naive bayes?,aiml
Tell me about space complexity.,dsa
How do I solve questions about ACID properties?,dbms
"My answer for variance was wrong, why?",maths
dynamic programming explained simply,dsa
Is Bayes theorem asked in placement interviews?,maths
